species,decimalLatitude,decimalLongitude,optional,tmean.avg,deleting.out.of.range
Fallicambarus byersi,31.31008672,-87.66820771,TRUE,18.56966686,
Fallicambarus caesius,33.58600113,-92.87004552,TRUE,17.09266678,
Fallicambarus danielae,31.14546543,-89.61782379,TRUE,18.62933318,
Fallicambarus devastator,31.47996708,-95.18749271,TRUE,18.57199979,
Fallicambarus dissitus,32.81308633,-92.35530198,TRUE,17.43499998,
Fallicambarus fodiens,37.62531195,-87.62150968,TRUE,13.60100018,
Fallicambarus gilpini,33.78000246,-92.09317207,TRUE,16.76200008,
Fallicambarus gordoni,31.47757953,-89.21057654,TRUE,18.20066675,
Fallicambarus harpi,34.23352404,-93.40041688,TRUE,15.88400018,
Fallicambarus hortoni,35.54238055,-88.81638591,TRUE,15.26133329,
Fallicambarus houstonensis,30.77353918,-95.37169697,TRUE,19.25700013,
Fallicambarus jeanae,34.23352404,-93.40041688,TRUE,15.88400018,
Fallicambarus kountzeae,31.33906004,-94.74915192,TRUE,19.22633314,
Fallicambarus macneesei,30.95523805,-94.22461873,TRUE,18.8586665,
Fallicambarus oryktes,31.15294189,-89.59791667,TRUE,18.62933318,
Fallicambarus petilicarpus,33.35726228,-92.534477,TRUE,17.17599992,
Fallicambarus strawni,34.21109823,-93.92314821,TRUE,15.54833333,
Fallicambarus tenuis,34.38592507,-93.99240312,TRUE,14.78000007,
Faxonella beyeri,31.80113447,-94.24767118,TRUE,18.00099981,
Faxonella blairi,34.07105907,-94.7261652,TRUE,16.30866659,
Faxonella clypeata,32.49441767,-90.16952354,TRUE,17.51900009,
Faxonella creaseri,32.38951427,-92.18862927,TRUE,17.91333342,
Geocharax falcata,-36.78691367,142.4429112,TRUE,14.5193332,
Geocharax tasmanicus,-38.42409176,143.44375,TRUE,13.10299993,
Gramastacus insolitus,-37.0429903,142.5143756,TRUE,12.96099993,
Hobbseus attenuatus,31.61178396,-90.14595049,TRUE,18.27633333,
Hobbseus cristatus,32.47566416,-88.2331183,TRUE,17.40566671,
Hobbseus orconectoides,33.76598782,-88.50520833,TRUE,16.63099988,
Hobbseus petilus,34.06204767,-88.51103818,TRUE,16.32166684,
Hobbseus prominens,32.63772629,-87.8401974,TRUE,17.48400017,
Hobbseus valleculus,32.87353875,-89.09374356,TRUE,16.94300016,
Hobbseus yalobushensis,33.8632257,-89.54517442,TRUE,16.34066673,
Ombrastacoides asperrimanus,-42.16296721,145.6352692,TRUE,10.3386666,
Ombrastacoides brevirostris,-42.69916092,145.5228978,TRUE,10.79933333,
Ombrastacoides decemdentatus,-42.62673884,146.0256954,TRUE,9.600666682,
Ombrastacoides denisoni,-43.23236382,146.6587614,TRUE,8.777999957,
Ombrastacoides dissitus,-43.47775344,146.8072882,TRUE,9.29733336,
Ombrastacoides huonensis,-43.10265597,146.5705497,TRUE,9.866333405,
Ombrastacoides ingressus,-42.03482059,145.4554266,TRUE,10.88933341,
Ombrastacoides leptomerus,-41.57910569,145.6823371,TRUE,8.363666614,
Ombrastacoides parvicaudatus,-42.03482059,145.4554266,TRUE,10.88933341,
Ombrastacoides professorum,-42.13861051,145.6342483,TRUE,10.3386666,
Ombrastacoides pulcher,-42.5680318,146.2759003,TRUE,7.008333306,
Orconectes acares,34.23368026,-93.39076693,TRUE,15.88400018,
Orconectes alabamensis,35.00237453,-87.83792547,TRUE,14.6843334,
Orconectes australis,34.75103,-85.92858921,TRUE,15.29033351,
Orconectes barrenensis,37.10491355,-85.92839242,TRUE,13.65800007,
Orconectes barri,36.33475337,-84.90275319,TRUE,12.74766669,
Orconectes bisectus,38.09113534,-88.33725432,TRUE,13.09733324,
Orconectes burri,36.39137869,-88.11666667,TRUE,14.45999999,
Orconectes carolinensis,35.57267252,-77.51218491,TRUE,15.93699992,
Orconectes causeyi,34.26059946,-99.88092373,TRUE,16.70699986,
Orconectes chickasawae,34.01597494,-88.89106748,TRUE,16.25366668,
Orconectes compressus,35.55373808,-86.82604167,TRUE,14.40933323,
Orconectes cooperi,34.8259215,-86.37562949,TRUE,15.1063333,
Orconectes cristavarius,38.75232496,-84.13157137,TRUE,11.95133333,
Orconectes deanae,35.32236312,-96.08082453,TRUE,15.85866678,
Orconectes difficilis,35.12354834,-97.03375685,TRUE,15.88766662,
Orconectes durelli,36.36104981,-85.7,TRUE,14.15766658,
Orconectes erichsonianus,33.01100312,-86.93229167,TRUE,16.77400021,
Orconectes etnieri,34.73098231,-88.93242398,TRUE,15.61833328,
Orconectes eupunctus,36.41152493,-91.45365458,TRUE,14.14400012,
Orconectes forceps,35.99823253,-83.08555849,TRUE,13.69900008,
Orconectes harrisonii,38.06022254,-90.96263085,TRUE,12.62666652,
Orconectes hartfieldi,34.06664681,-89.69684668,TRUE,16.14966659,
Orconectes hathawayi,30.22767882,-92.55448803,TRUE,19.69933327,
Orconectes hobbsi,30.31409115,-90.51942877,TRUE,19.70800002,
Orconectes holti,32.3194582,-86.43125,TRUE,18.30666685,
Orconectes hylas,37.78556188,-90.76500322,TRUE,12.62300014,
Orconectes illinoiensis,37.91908218,-88.75180397,TRUE,13.14999995,
Orconectes immunis,48.99979364,-86.80132294,TRUE,1.18066671,
Orconectes immunis,45.49256304,-73.12914534,TRUE,5.966333191,yes
