OBJECTID,id_no,species,decimalLatitude,decimalLongitude
321,153835,Orconectes rusticus,49.76102775,-87.38249551
397,153910,Orconectes sanbornii,38.3835183,-83.39795176
82,15428,Orconectes saxatilis,34.67263501,-94.67360529
452,153962,Orconectes sheltae,34.90502502,-86.22331761
77,15423,Orconectes shoupi,35.89638516,-86.88642343
83,15429,Orconectes sloanii,39.38662475,-85.31458333
350,153865,Orconectes spinosus,34.41307992,-84.89755334
84,15430,Orconectes stannardi,38.09103606,-88.33125454
342,153857,Orconectes stygocaneyi,36.64199905,-92.42576844
534,168254,Orconectes taylori,36.43358104,-88.70187068
310,153829,Orconectes theaphionensis,39.34366075,-86.224688
410,153923,Orconectes tricuspis,37.47028338,-87.93602072
265,153784,Orconectes validus,34.46575394,-86.94697526
370,153883,Orconectes virginiensis,36.68903778,-77.01614032
312,153831,Orconectes virilis,64.27315479,16.43949025
313,153831,Orconectes virilis,43.66683327,-77.73479672
314,153831,Orconectes virilis,50.11288274,-93.67860716
315,153831,Orconectes virilis,37.01629877,-89.06382485
250,153772,Orconectes williamsi,36.27036782,-93.71333117
85,15431,Orconectes wrighti,35.2022774,-88.36276855
200,153701,Pacifastacus connectens,44.29275018,-117.4582117
97,15866,Pacifastacus fortis,41.32501781,-121.6625
220,153735,Pacifastacus gambelii,44.15566021,-113.1273076
221,153735,Pacifastacus gambelii,36.46498091,-119.420057
222,153735,Pacifastacus gambelii,38.44556308,-119.1
167,153648,Pacifastacus leniusculus,35.05340634,33.23147882
168,153648,Pacifastacus leniusculus,55.75997503,-125.050242
98,15867,Pacifastacus nigrescens,37.66323564,-121.3705497
233,153750,Paranephrops planifrons,-38.6261174,175.4906703
144,153614,Paranephrops zealandicus,-44.69683615,169.9070646
184,153675,Parastacus brasiliensis,-30.13924571,-51.47354736
183,153669,Parastacus defossus,-33.74466354,-53.92788107
199,153700,Parastacus laevigatus,-26.35713863,-49.33020833
196,153697,Parastacus nicoleti,-39.51193469,-72.48481567
194,153691,Parastacus pilimanus,-33.95977504,-55.84672063
206,153709,Parastacus pugnax,-39.10885193,-72.95999921
161,153637,Parastacus saffordi,-27.41812749,-50.55017291
164,153641,Parastacus varicosus,-33.31037512,-53.15490909
227,153745,Pontastacus leptodactylus,50.0417321,11.65923931
228,153745,Pontastacus leptodactylus,54.52852972,39.05783665
201,153702,Pontastacus pachypus,46.81695007,35.49232811
506,154014,Procambarus ablusus,35.06087639,-88.52583923
485,153994,Procambarus acanthophorus,16.55627943,-92.39270833
99,18188,Procambarus acherontis,28.71280549,-81.48407407
216,153728,Procambarus achilli,20.48547925,-98.56103161
502,154010,Procambarus acutissimus,32.99577857,-87.04198746
